TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-02-10 09:18:16.055,0.8656525581047823,-0.3274375492626342,0.1409705407262965,0.4014109971734352,0.6929076438108935,-0.1657043933931746,-0.1533855554836748,0.6453662526810791,0.7688766852482763,0.2097056075392,0.1829115401009247,0.7473878203181015,0.9735117852557049,1.171299945209753,1.327058760797988,0.9745837855894464,0.4904265147605093,1.054836499434173,1.377714477476027,0.5644228042615366,847.1648763797273,824.1351515849386,824.1351515849386,822.4901712424537,0.320313,0.089844,0.960939,1,1,1,1,1,53.810001
2021-02-10 09:18:17.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-02-10 09:18:17.069,0.824241870118899,0.5443512486280068,0.7320526940051876,0.4190324960397504,0.8515505002833899,-0.03280887173606352,0.3556069874985224,0.6712919701480077,1.164244108212758,0.7188075765572802,0.7168576722252233,0.5554150530782858,0.9387691068118087,1.305883492180151,1.35828121821878,0.909618978394641,0.3772903664355723,1.082663609619565,1.259221331967757,0.3874488493323373,861.9696994620915,852.0998174071821,812.6202891875442,830.7150729548782,0.300782,0.093750,0.949220,1,1,1,1,1,53.810001
2021-02-10 09:18:17.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-02-10 09:18:18.055,0.9756019390808682,0.8974560182604377,0.5977530761709997,0.7189951803988828,1.167059057663848,0.4348275898172167,0.4466475828685287,0.7250602255437308,1.141537431182217,0.8744994863012974,0.8542106843444627,0.351087000083489,0.7456049362786349,1.432148820056214,1.367070850850956,0.8102351449794983,0.3470841299417626,1.272373992067828,1.264213636457108,0.2460834625485644,840.5849550097877,837.2949943248179,814.2652695300292,825.7801319274236,0.339844,0.078125,0.953126,1,1,1,1,1,53.810001
2021-02-10 09:18:18.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-02-10 09:18:19.055,0.9756019390808682,0.6271846736911872,0.9442033965834375,1.515307027898683,1.167059057663848,0.1822571942642485,0.3526448222734312,1.357352318688661,1.141537431182217,0.8558677998113132,0.8867024794001321,1.00537749968296,0.7456049362786349,1.42342570352982,1.409915937494754,0.7921017629674165,0.3470841299417626,1.270914814586128,1.423813089055429,0.3317216890234729,847.1648763797273,804.3953874751197,819.200210557484,832.3600532973632,0.113281,0.152344,0.996095,1,1,1,1,1,53.810001
2021-02-10 09:18:20.069,0.4319952960023247,0.4857502982122083,0.9453451902380163,0.09824167936974584,0.5791384750253105,-0.1923483856911297,0.2186436811143902,0.4186426810459941,0.7901945247367878,0.579615407512405,0.4013784640284059,0.5888907857168522,0.9776166216686436,1.244840162714048,1.194177757037358,0.7434793383670436,0.598600224999928,1.317834946145903,1.343743026284275,0.3866499473580191,847.1648763797273,832.3600532973632,778.0757019953612,832.3600532973632,0.070313,0.136719,1.000002,1,1,1,1,1,53.810001
2021-02-10 09:18:21.054,0.3269457400004002,-0.2066275237256897,-0.3947284443155781,0.09256125766292168,0.4094356988634192,-0.1786962198419731,0.2513321263549066,0.112199733130031,0.7743826947068785,0.3469656403621427,0.6199022631686852,0.3648203824720801,0.9129037488277794,1.189599644817432,1.387527434438532,0.6915740195271033,0.6211174416168581,1.37265533753316,1.361600414140762,0.3562617649785151,832.3600532973632,829.0700926123933,815.9102498725141,820.8451908999688,0.082031,0.125000,0.996095,1,1,1,1,1,53.810001
2021-02-10 09:18:21.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-02-10 09:18:22.055,0.7004104539692343,0.6229470436124577,0.3939989697812532,0.3164574794797844,0.3838287461520271,0.3141156206007893,0.3923259899168451,-0.2960012284595331,0.5104096185804131,0.471351419640973,0.7572863000864009,0.2868233361302586,0.9382952364556537,1.374003259143425,1.411109740719712,0.7443592678861772,0.6979864018843585,1.450605103381632,1.46112128076282,0.6413580958778697,843.8749156947575,834.0050336398481,797.8154661051801,822.4901712424537,0.179688,0.105469,0.988283,1,1,1,1,1,53.810001
