TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-03-03 12:17:30.680,1.222655761616556,1.773093221571047,0.8520961308106307,1.519284637276625,0.7336230129003288,1.241617778836433,0.1344900841563215,1.294879696594582,0.5079929858982658,0.798618902367476,0.3118893089578407,1.368540204005186,0.708287060369828,0.8652987728228264,1.405312157033502,0.9185665325219844,0.5427843386113474,0.8258532544266649,1.540458385967206,0.6139170275832782,1052.787419190341,949.1536576137916,1029.757694395552,1084.042045697554,0.683595,0.128906,0.757814,1,1,1,2,1,73.809998
2021-03-03 12:17:30.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-03-03 12:17:30.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-03-03 12:17:31.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-03-03 12:17:31.676,1.222655761616556,1.812033148355259,0.8520961308106307,1.519284637276625,0.7336230129003288,1.221253056730783,0.1344900841563215,1.294879696594582,0.5079929858982658,0.9242326631609116,0.3118893089578407,1.368540204005186,0.708287060369828,0.9176421076589787,1.405312157033502,0.9185665325219844,0.5427843386113474,1.175597876334577,1.540458385967206,0.6139170275832782,957.3785593262161,940.928755901367,873.4845618594859,929.4138935039726,0.578126,0.132813,0.824220,1,2,1,1,2,73.809998
2021-03-03 12:17:32.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-03-03 12:17:32.676,1.222655761616556,1.337006708378956,0.8520961308106307,1.519284637276625,0.7336230129003288,1.167634393274067,0.1344900841563215,1.294879696594582,0.5079929858982658,0.6796424223972009,0.3118893089578407,1.368540204005186,0.708287060369828,0.9802909688250621,1.405312157033502,0.9185665325219844,0.5427843386113474,1.435929841411656,1.540458385967206,0.6139170275832782,837.2949943248179,903.0942080242141,876.7745225444556,806.0403678176046,0.386719,0.093750,0.902345,1,2,1,1,2,73.809998
2021-03-03 12:17:32.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-03-03 12:17:33.676,1.222655761616556,1.195936669119192,1.515596863352877,1.519284637276625,0.7336230129003288,1.014316003247565,0.6611423965952812,1.294879696594582,0.5079929858982658,0.7148048889453019,0.9602035659321967,1.368540204005186,0.708287060369828,0.8636222641483957,1.214393035017306,0.9185665325219844,0.5427843386113474,0.7922001604117985,1.105600458126492,0.6139170275832782,967.2484413811255,891.5793456268199,884.9994242568802,957.3785593262161,0.300782,0.101563,0.964845,1,2,1,1,2,73.809998
2021-03-03 12:17:34.676,1.283701505053807,0.5462018269516219,0.8740451883379885,1.193954229456496,0.7551531430541736,0.2002062974839275,0.1797769873059277,0.387774396031354,1.092864826716482,0.459246684546529,1.003676604405396,1.089453624759397,0.4875711427231132,0.4631076215511086,1.109453319367697,0.5242527435826849,0.5140613929481622,0.2406982914151243,0.9775183261103593,0.352696161040609,922.833972134033,898.1592669967595,855.3897780921519,896.5142866542745,0.261719,0.066406,0.984377,1,1,1,1,1,73.809998
2021-03-03 12:17:35.676,0.9869083836449083,0.2217727734499466,0.8072729296258284,0.9527080737156615,0.4053950316394122,-0.03082838446868428,0.3664301613766199,0.6273872995312268,0.9148234752124393,-0.009369045042275627,0.9518961281493914,0.942091213056841,0.3318981762309438,-0.133293346773253,1.009108913589676,0.6167755630273922,0.411925404031422,-0.1253750803377247,0.8244707396717003,0.5111316129805975,806.0403678176046,935.9938148739124,967.2484413811255,787.9455840502707,0.156250,0.089844,0.992189,1,1,1,1,1,73.809998
2021-03-03 12:17:35.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-03-03 12:17:36.676,0.8359320379916507,0.8484135949510055,1.291409576659218,0.8919124178111651,0.3967352025339321,0.3796649979951979,0.6348647647856678,0.7462798585554863,0.772062833663789,0.3863903066265136,0.6585680496609636,0.8690955320654372,0.3427745092304214,-0.03207814504923602,0.968311262391693,0.7682446667030305,0.4429842337690097,-0.3085245254628064,0.71266877995227,0.6264591558387195,898.1592669967595,891.5793456268199,834.0050336398481,873.4845618594859,0.187500,0.117188,0.976564,1,1,1,1,1,73.809998
2021-03-03 12:17:37.676,0.2743549596167943,0.6611653162561604,0.8268316584237746,0.5790400967986603,-0.02880948566076972,0.02946970996550432,-0.1892821319582431,-0.1992168178726018,0.5787397264648574,0.1392355201620301,0.1439822970113083,0.4239793521618564,0.6522570714984761,0.08608771684848759,0.429459583731893,0.599481917534034,0.3322828120018925,-0.5102037088978817,-0.0723725793073712,0.4570381588296439,870.194601174516,875.1295422019707,825.7801319274236,853.744797749667,0.222657,0.113281,0.984377,1,1,1,1,1,73.809998
2021-03-03 12:17:38.676,0.2891986645046369,-0.2072054442687705,0.01614358064941802,0.2738639729394001,-0.05410336585128041,-0.6414679008011388,-0.4159194242756153,-0.320228910186216,0.5181799759130279,-0.2098526041302055,-0.1215280198381391,0.4809443118073345,0.5493275084724843,0.06910220301187463,0.09084891637502887,0.5900796055747372,0.2804465972089411,-0.650085270594887,-0.2421182952627395,0.4385671858206915,858.6797387771217,857.0347584346367,820.8451908999688,847.1648763797273,0.222657,0.105469,0.980470,1,1,1,1,1,73.809998
2021-03-03 12:17:39.676,0.3694727105581224,0.2259099655137805,-0.1184272004203474,0.0761767464488409,0.06834266723555989,-0.6251770804878891,-0.1801513722391372,-0.1546662383460905,0.4924932686148647,-0.08029647631000696,0.047911848443723,0.4100305525527495,0.6066891849914463,0.1264807086517714,-0.06110806108171295,0.5415538392469916,0.1324974180402278,-0.6934185485010516,-0.6911377011096964,0.4005233075649841,860.3247191196066,852.0998174071821,814.2652695300292,852.0998174071821,0.234375,0.105469,0.976564,1,1,1,1,1,73.809998
